Repository,Tag Name,Release Name,Published At (ISO),Published Date,Published Time,Author,Is Prerelease,Year,Month,Quarter,Month Name,Week Number,Day of Week (0=Sun),Day Name,Hour (0-23),Time Slot,Is Weekend,Season Quarter,Version Type,Release Type,Is Major Version,Is Patch Version,Is Hotfix,Days Since Epoch
daangn/stackflow,@stackflow/plugin-devtools@0.1.9,@stackflow/plugin-devtools@0.1.9,2024-07-22T05:03:52.000Z,2024-07-22,05:03:52,github-actions[bot],false,2024,7,3,July,30,1,Monday,14,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19926
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.7,@stackflow/plugin-map-initial-activity@1.0.7,2024-07-22T05:03:55.000Z,2024-07-22,05:03:55,github-actions[bot],false,2024,7,3,July,30,1,Monday,14,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19926
daangn/stackflow,@stackflow/plugin-history-sync@1.5.2,@stackflow/plugin-history-sync@1.5.2,2024-07-22T05:03:58.000Z,2024-07-22,05:03:58,github-actions[bot],false,2024,7,3,July,30,1,Monday,14,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19926
daangn/stackflow,@stackflow/plugin-preload@1.3.1,@stackflow/plugin-preload@1.3.1,2024-07-22T05:04:01.000Z,2024-07-22,05:04:01,github-actions[bot],false,2024,7,3,July,30,1,Monday,14,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19926
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.9,@stackflow/plugin-renderer-basic@1.1.9,2024-07-22T05:04:04.000Z,2024-07-22,05:04:04,github-actions[bot],false,2024,7,3,July,30,1,Monday,14,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19926
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.9,@stackflow/plugin-renderer-web@1.1.9,2024-07-22T05:04:07.000Z,2024-07-22,05:04:07,github-actions[bot],false,2024,7,3,July,30,1,Monday,14,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19926
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.3,@stackflow/plugin-stack-depth-change@1.1.3,2024-07-22T05:04:10.000Z,2024-07-22,05:04:10,github-actions[bot],false,2024,7,3,July,30,1,Monday,14,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19926
daangn/stackflow,@stackflow/react@1.1.10,@stackflow/react@1.1.10,2024-07-22T05:04:13.000Z,2024-07-22,05:04:13,github-actions[bot],false,2024,7,3,July,30,1,Monday,14,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19926
daangn/stackflow,@stackflow/esbuild-config@1.0.2,@stackflow/esbuild-config@1.0.2,2024-07-22T05:04:16.000Z,2024-07-22,05:04:16,github-actions[bot],false,2024,7,3,July,30,1,Monday,14,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19926
daangn/stackflow,@stackflow/plugin-history-sync@1.5.3,@stackflow/plugin-history-sync@1.5.3,2024-07-23T01:35:18.000Z,2024-07-23,01:35:18,github-actions[bot],false,2024,7,3,July,30,2,Tuesday,10,work_morning,false,Q3_Summer,semantic,stable,false,true,false,19927
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.1,@stackflow/plugin-basic-ui@1.8.1,2024-07-24T03:50:38.000Z,2024-07-24,03:50:38,github-actions[bot],false,2024,7,3,July,30,3,Wednesday,12,lunch_time,false,Q3_Summer,semantic,stable,false,true,false,19928
daangn/stackflow,@stackflow/compat-await-push@1.1.10,@stackflow/compat-await-push@1.1.10,2024-07-25T08:36:41.000Z,2024-07-25,08:36:41,github-actions[bot],false,2024,7,3,July,30,4,Thursday,17,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19929
daangn/stackflow,@stackflow/link@1.4.2,@stackflow/link@1.4.2,2024-07-25T08:36:44.000Z,2024-07-25,08:36:44,github-actions[bot],false,2024,7,3,July,30,4,Thursday,17,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19929
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.2,@stackflow/plugin-basic-ui@1.8.2,2024-07-25T08:36:47.000Z,2024-07-25,08:36:47,github-actions[bot],false,2024,7,3,July,30,4,Thursday,17,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19929
