Repository,Tag Name,Release Name,Published At,Author,Is Prerelease,Year,Month,Week Number,Day of Week
daangn/stackflow,@stackflow/plugin-preload@1.4.0,@stackflow/plugin-preload@1.4.0,2024-08-02T01:22:05.000Z,github-actions[bot],false,2024,8,31,5
daangn/stackflow,@stackflow/plugin-basic-ui@1.9.0,@stackflow/plugin-basic-ui@1.9.0,2024-08-08T02:42:06.000Z,github-actions[bot],false,2024,8,32,4
daangn/stackflow,@stackflow/react-ui-core@1.1.0,@stackflow/react-ui-core@1.1.0,2024-08-08T02:42:09.000Z,github-actions[bot],false,2024,8,32,4
daangn/stackflow,@stackflow/react@1.2.2,@stackflow/react@1.2.2,2024-08-08T02:42:12.000Z,github-actions[bot],false,2024,8,32,4
daangn/stackflow,@stackflow/core@1.0.14,@stackflow/core@1.0.14,2024-08-08T03:53:10.000Z,github-actions[bot],false,2024,8,32,4
daangn/stackflow,@stackflow/plugin-history-sync@1.6.1,@stackflow/plugin-history-sync@1.6.1,2024-08-08T03:53:13.000Z,github-actions[bot],false,2024,8,32,4
daangn/stackflow,@stackflow/core@1.1.0,@stackflow/core@1.1.0,2024-08-14T05:38:38.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/compat-await-push@1.1.12,@stackflow/compat-await-push@1.1.12,2024-08-14T05:38:40.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/link@1.4.4,@stackflow/link@1.4.4,2024-08-14T05:38:43.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/plugin-basic-ui@1.9.1,@stackflow/plugin-basic-ui@1.9.1,2024-08-14T05:38:46.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/plugin-devtools@0.1.11,@stackflow/plugin-devtools@0.1.11,2024-08-14T05:38:50.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.14,@stackflow/plugin-google-analytics-4@1.1.14,2024-08-14T05:38:52.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.10,@stackflow/plugin-map-initial-activity@1.0.10,2024-08-14T05:38:55.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/plugin-preload@1.4.1,@stackflow/plugin-preload@1.4.1,2024-08-14T05:38:59.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/plugin-history-sync@1.6.2,@stackflow/plugin-history-sync@1.6.2,2024-08-14T05:39:02.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.12,@stackflow/plugin-renderer-basic@1.1.12,2024-08-14T05:39:05.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.12,@stackflow/plugin-renderer-web@1.1.12,2024-08-14T05:39:08.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/react-ui-core@1.1.1,@stackflow/react-ui-core@1.1.1,2024-08-14T05:39:11.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.5,@stackflow/plugin-stack-depth-change@1.1.5,2024-08-14T05:39:14.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/react@1.3.0,@stackflow/react@1.3.0,2024-08-14T05:39:17.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/react@1.3.1,@stackflow/react@1.3.1,2024-08-14T06:44:07.000Z,github-actions[bot],false,2024,8,33,3
daangn/stackflow,@stackflow/plugin-history-sync@1.6.3,@stackflow/plugin-history-sync@1.6.3,2024-08-21T06:44:29.000Z,github-actions[bot],false,2024,8,34,3
daangn/stackflow,@stackflow/compat-await-push@1.1.13,@stackflow/compat-await-push@1.1.13,2024-09-03T05:28:34.000Z,github-actions[bot],false,2024,9,36,2
daangn/stackflow,@stackflow/link@1.4.5,@stackflow/link@1.4.5,2024-09-03T05:28:36.000Z,github-actions[bot],false,2024,9,36,2
daangn/stackflow,@stackflow/plugin-basic-ui@1.9.2,@stackflow/plugin-basic-ui@1.9.2,2024-09-03T05:28:39.000Z,github-actions[bot],false,2024,9,36,2
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.15,@stackflow/plugin-google-analytics-4@1.1.15,2024-09-03T05:28:42.000Z,github-actions[bot],false,2024,9,36,2
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.11,@stackflow/plugin-map-initial-activity@1.0.11,2024-09-03T05:28:46.000Z,github-actions[bot],false,2024,9,36,2
daangn/stackflow,@stackflow/plugin-preload@1.4.2,@stackflow/plugin-preload@1.4.2,2024-09-03T05:28:48.000Z,github-actions[bot],false,2024,9,36,2
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.13,@stackflow/plugin-renderer-basic@1.1.13,2024-09-03T05:28:52.000Z,github-actions[bot],false,2024,9,36,2
daangn/stackflow,@stackflow/react-ui-core@1.1.2,@stackflow/react-ui-core@1.1.2,2024-09-03T05:28:55.000Z,github-actions[bot],false,2024,9,36,2
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.13,@stackflow/plugin-renderer-web@1.1.13,2024-09-03T05:28:57.000Z,github-actions[bot],false,2024,9,36,2
daangn/stackflow,@stackflow/react@1.3.2,@stackflow/react@1.3.2,2024-09-03T05:29:01.000Z,github-actions[bot],false,2024,9,36,2
daangn/stackflow,@stackflow/plugin-basic-ui@1.10.0,@stackflow/plugin-basic-ui@1.10.0,2024-09-11T07:08:36.000Z,github-actions[bot],false,2024,9,37,3
daangn/stackflow,@stackflow/config@1.2.0,@stackflow/config@1.2.0,2024-09-26T06:24:48.000Z,github-actions[bot],false,2024,9,39,4
daangn/stackflow,@stackflow/plugin-history-sync@1.7.0,@stackflow/plugin-history-sync@1.7.0,2024-09-26T06:24:51.000Z,github-actions[bot],false,2024,9,39,4
daangn/stackflow,@stackflow/link@1.5.0,@stackflow/link@1.5.0,2024-09-26T06:24:54.000Z,github-actions[bot],false,2024,9,39,4
daangn/stackflow,@stackflow/react@1.4.0,@stackflow/react@1.4.0,2024-09-26T06:24:57.000Z,github-actions[bot],false,2024,9,39,4
daangn/stackflow,@stackflow/plugin-preload@1.4.3,@stackflow/plugin-preload@1.4.3,2024-09-26T06:25:00.000Z,github-actions[bot],false,2024,9,39,4
daangn/stackflow,@stackflow/react@1.4.1,@stackflow/react@1.4.1,2024-10-23T05:42:16.000Z,github-actions[bot],false,2024,10,43,3
daangn/stackflow,@stackflow/link@1.6.0,@stackflow/link@1.6.0,2024-11-08T01:57:26.000Z,github-actions[bot],false,2024,11,45,5
daangn/stackflow,@stackflow/plugin-basic-ui@1.10.1,@stackflow/plugin-basic-ui@1.10.1,2024-11-19T10:39:01.000Z,github-actions[bot],false,2024,11,47,2
daangn/stackflow,@stackflow/plugin-basic-ui@1.11.0,@stackflow/plugin-basic-ui@1.11.0,2024-12-18T07:57:52.000Z,github-actions[bot],false,2024,12,51,3
daangn/stackflow,@stackflow/react-ui-core@1.2.0,@stackflow/react-ui-core@1.2.0,2024-12-18T07:57:55.000Z,github-actions[bot],false,2024,12,51,3
daangn/stackflow,@stackflow/react-ui-core@1.2.1,@stackflow/react-ui-core@1.2.1,2024-12-18T12:26:00.000Z,github-actions[bot],false,2024,12,51,3
daangn/stackflow,@stackflow/plugin-basic-ui@1.11.1,@stackflow/plugin-basic-ui@1.11.1,2024-12-18T14:29:36.000Z,github-actions[bot],false,2024,12,51,3
daangn/stackflow,@stackflow/config@1.2.1,@stackflow/config@1.2.1,2025-01-22T12:13:08.000Z,github-actions[bot],false,2025,1,4,3
daangn/stackflow,@stackflow/core@1.1.1,@stackflow/core@1.1.1,2025-01-22T12:13:10.000Z,github-actions[bot],false,2025,1,4,3
daangn/stackflow,@stackflow/link@1.6.1,@stackflow/link@1.6.1,2025-01-22T12:13:13.000Z,github-actions[bot],false,2025,1,4,3
daangn/stackflow,@stackflow/react@1.4.2,@stackflow/react@1.4.2,2025-01-22T12:13:17.000Z,github-actions[bot],false,2025,1,4,3
daangn/stackflow,@stackflow/plugin-history-sync@1.7.1,@stackflow/plugin-history-sync@1.7.1,2025-01-22T12:13:19.000Z,github-actions[bot],false,2025,1,4,3
daangn/stackflow,@stackflow/core@1.2.0,@stackflow/core@1.2.0,2025-02-14T02:06:54.000Z,github-actions[bot],false,2025,2,7,5
daangn/stackflow,@stackflow/react@1.5.0,@stackflow/react@1.5.0,2025-02-14T02:06:57.000Z,github-actions[bot],false,2025,2,7,5
